Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),Amazon Virtual Private Cloud (VPC),0,65.78,789.36,USD,Number of NAT Gateways (2)
My Estimate,US East (Ohio),S3 Standard,0,0.43,5.16,USD,S3 Standard storage (1 GB per month)
My Estimate,US East (Ohio),Data Transfer,0,0,0.00,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Amazon Cloud Front) 1 TB per month 
"
My Estimate,US East (Ohio),Amazon EC2,0,2624.8303,31497.96,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (8 GB), Snapshot Frequency (Weekly), Amount changed per snapshot (3 GB), Data Transfer, Workload (Daily, (Workload days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Baseline: 2, Peak: 100, Duration of peak: 8 Hr 30 Min)), Advance EC2 instance (m5.large), Pricing strategy (undefined)"
My Estimate,US East (Ohio),Amazon EC2,0,7786.5109,93438.13,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (8 GB), Snapshot Frequency (Weekly), Amount changed per snapshot (3 GB), Data Transfer, Workload (Daily, (Workload days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Baseline: 2, Peak: 150, Duration of peak: 8 Hr 30 Min)), Advance EC2 instance (m5.xlarge), Pricing strategy (undefined), Data transfer cost (81.92)"
My Estimate,US East (Ohio),Amazon Aurora MySQL-Compatible,0,8275.2,99302.40,USD,"Change records per statement (0.38), (3 instances)  db.r5.4xlarge  Memory optimized  OnDemand, Storage amount (10 TB), Number of I/Os per month in millions (100), Additional backup storage (100 TB)"
My Estimate,US East (Ohio),Elastic Load Balancing,0,114.77000000000001,1377.24,USD,Number of Application Load Balancers (2)



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
